date,EPU,credit_spread,yield_curve_slope,bbb_aaa_spread
2012-04-01,96.96967116682288,3.14,1.76,1.2300000000000004
2012-05-01,135.87985109650262,3.27,1.52,1.2700000000000005
2012-06-01,197.4609789217969,3.4,1.33,1.3799999999999994
2012-07-01,180.80354221209836,3.35,1.28,1.4700000000000002
2012-08-01,142.95530132785808,3.23,1.41,1.4300000000000002
2012-09-01,182.1071854846393,3.12,1.47,1.3499999999999996
2012-10-01,166.12840409667675,2.84,1.47,1.1099999999999999
2012-11-01,205.8646602342428,2.86,1.39,1.0099999999999998
2012-12-01,214.95194883229547,2.91,1.46,0.98
2013-01-01,199.35894224148564,2.82,1.65,0.9300000000000006
2013-02-01,128.5625134303117,2.86,1.72,0.9499999999999997
2013-03-01,146.11586159850825,2.9,1.7,0.9199999999999995
2013-04-01,135.44059164932975,2.83,1.53,0.8599999999999999
2013-05-01,109.02804315682972,2.8,1.68,0.8400000000000003
2013-06-01,126.6258694244252,2.89,1.97,0.9200000000000008
2013-07-01,91.43749002531644,2.74,2.24,0.9800000000000004
2013-08-01,108.75837824894604,2.69,2.38,0.8799999999999999
2013-09-01,179.88973643717776,2.66,2.41,0.8300000000000001
2013-10-01,225.37330714232283,2.69,2.28,0.7799999999999994
2013-11-01,89.91517306848463,2.67,2.41,0.75
2013-12-01,115.0207376276682,2.48,2.56,0.7599999999999998
2014-01-01,107.70512883233452,2.33,2.46,0.7000000000000002
2014-02-01,93.36929825576232,2.39,2.38,0.6499999999999995
2014-03-01,101.01873198897096,2.34,2.32,0.6799999999999997
2014-04-01,96.99343088939668,2.2,2.29,0.6600000000000001
2014-05-01,102.01504290843218,2.2,2.17,0.5999999999999996
2014-06-01,85.96846751882667,2.2,2.15,0.5499999999999998
2014-07-01,78.50598746054466,2.19,2.04,0.5700000000000003
2014-08-01,63.877336319759245,2.27,1.95,0.6100000000000003
2014-09-01,86.21660154224651,2.27,1.97,0.6899999999999995
2014-10-01,113.3345833818482,2.38,1.86,0.7700000000000005
2014-11-01,93.18594252758308,2.46,1.8,0.8700000000000001
2014-12-01,87.41532796064575,2.53,1.57,0.9500000000000002
2015-01-01,120.54422995171836,2.57,1.33,0.9900000000000002
2015-02-01,87.60946941534985,2.53,1.36,0.8999999999999999
2015-03-01,95.97896260680174,2.5,1.4,0.8999999999999999
2015-04-01,103.5449569820734,2.55,1.4,0.9600000000000004
2015-05-01,102.31869650214142,2.69,1.59,0.9099999999999997
2015-06-01,115.88028665124163,2.76,1.68,0.9399999999999995
2015-07-01,98.73479281421764,2.88,1.66,1.0499999999999998
2015-08-01,156.50362976849812,3.02,1.47,1.1500000000000004
2015-09-01,171.9326776079735,3.17,1.46,1.2699999999999996
2015-10-01,110.70193773826144,3.27,1.43,1.3899999999999997
2015-11-01,89.58371043936737,3.19,1.38,1.4000000000000004
2015-12-01,101.96343285162988,3.21,1.26,1.4899999999999998
2016-01-01,154.8573305883009,3.36,1.19,1.4500000000000002
2016-02-01,148.32178884302218,3.56,1.05,1.38
2016-03-01,130.49015932384305,3.24,1.01,1.31
2016-04-01,96.41341581246452,2.98,1.04,1.17
2016-05-01,96.22233274231512,2.87,0.99,1.0299999999999998
2016-06-01,233.9561029807024,2.88,0.91,1.0300000000000002
2016-07-01,164.45840052945698,2.71,0.83,0.94
2016-08-01,106.88562278807385,2.68,0.82,0.9200000000000004
2016-09-01,86.34353837572384,2.68,0.86,0.8999999999999995
2016-10-01,108.06412479274996,2.61,0.92,0.8700000000000001
2016-11-01,254.1013277977594,2.57,1.16,0.8500000000000001
2016-12-01,161.42478617964736,2.34,1.3,0.7700000000000005
2017-01-01,195.0406301487559,2.23,1.23,0.7400000000000002
2017-02-01,177.77771703078386,2.22,1.22,0.6899999999999995
2017-03-01,154.6096950716648,2.2,1.17,0.6699999999999999
2017-04-01,157.67652276048602,2.27,1.06,0.7000000000000002
2017-05-01,129.88805773509438,2.25,1.0,0.6999999999999997
2017-06-01,120.638462013977,2.18,0.84,0.69
2017-07-01,141.13833497496017,2.07,0.95,0.6899999999999995
2017-08-01,137.85970356732346,2.1,0.87,0.6799999999999997
2017-09-01,116.62001749224488,2.1,0.82,0.6699999999999999
2017-10-01,125.86584390490805,1.96,0.81,0.7200000000000002
2017-11-01,111.28268645750131,1.92,0.66,0.6999999999999997
2017-12-01,140.35018163208687,1.82,0.56,0.71
2018-01-01,160.96720482315624,1.67,0.55,0.71
2018-02-01,114.75555830719168,1.65,0.68,0.69
2018-03-01,187.0958898895265,1.8,0.57,0.7699999999999996
2018-04-01,139.0353863798274,1.8,0.48,0.8199999999999998
2018-05-01,162.27669727441403,1.85,0.47,0.8300000000000001
2018-06-01,134.40277095276352,1.92,0.38,0.8700000000000001
2018-07-01,176.20507806975243,1.9,0.28,0.9199999999999999
2018-08-01,114.9613708572396,1.88,0.25,0.8899999999999997
2018-09-01,120.9851906831101,1.88,0.24,0.8999999999999999
2018-10-01,136.11465330894578,1.91,0.29,0.9300000000000006
2018-11-01,164.94220233666894,2.11,0.26,1.0
2018-12-01,226.57688783543796,2.3,0.16,1.1100000000000003
2019-01-01,284.1359376541715,2.41,0.17,1.19
2019-02-01,123.63928802128096,2.27,0.17,1.1600000000000001
2019-03-01,180.63169968632656,2.26,0.16,1.0699999999999998
2019-04-01,109.68637345474951,2.17,0.19,1.0100000000000002
2019-05-01,160.8581540301101,2.23,0.19,0.96
2019-06-01,207.99137228425923,2.39,0.26,1.04
2019-07-01,207.745461743896,2.22,0.22,0.9900000000000002
2019-08-01,282.52293100286573,2.25,0.06,0.8900000000000001
2019-09-01,186.6406965622766,2.22,0.05,0.8800000000000003
2019-10-01,159.5113928417186,2.22,0.16,0.9200000000000004
2019-11-01,170.48034105615363,2.13,0.2,0.8799999999999999
2019-12-01,190.5049252842669,2.02,0.25,0.8700000000000001
2020-01-01,164.75530578231132,2.01,0.24,0.8300000000000001
2020-02-01,216.1912123553838,2.11,0.17,0.8300000000000001
2020-03-01,425.7791697764692,3.42,0.42,1.27
2020-04-01,400.9447431705236,3.47,0.43,1.6999999999999997
2020-05-01,503.9633367059844,3.28,0.5,1.4500000000000002
2020-06-01,300.2401726881104,2.91,0.54,1.2000000000000002
2020-07-01,427.9153661127744,2.69,0.48,1.17
2020-08-01,263.471433963797,2.62,0.51,1.02
2020-09-01,252.58784270321772,2.68,0.54,1.0499999999999998
2020-10-01,305.76662668120656,2.65,0.64,1.0899999999999999
2020-11-01,327.60960495189306,2.43,0.7,1.0
2020-12-01,326.61663006838853,2.23,0.8,0.9000000000000004
2021-01-01,261.30613275031254,2.16,0.95,0.79
2021-02-01,187.51961611197683,2.16,1.14,0.7199999999999998
2021-03-01,166.7855324285332,2.13,1.46,0.7000000000000002
2021-04-01,141.3001663096493,1.97,1.47,0.7000000000000002
